[2025-10-07T09:15:02.790+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-07T09:15:02.815+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-10-07T09:10:00+00:00 [queued]>
[2025-10-07T09:15:02.824+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-10-07T09:10:00+00:00 [queued]>
[2025-10-07T09:15:02.825+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-07T09:16:23.897+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739833.json to Snowflake stage
[2025-10-07T09:16:24.451+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739849.json to Snowflake stage
[2025-10-07T09:16:24.863+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739866.json to Snowflake stage
[2025-10-07T09:16:25.301+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739884.json to Snowflake stage
[2025-10-07T09:16:25.799+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739901.json to Snowflake stage
[2025-10-07T09:16:26.371+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739923.json to Snowflake stage
[2025-10-07T09:16:26.762+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739936.json to Snowflake stage
[2025-10-07T09:16:27.161+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739948.json to Snowflake stage
[2025-10-07T09:16:27.521+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739962.json to Snowflake stage
[2025-10-07T09:16:28.189+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739975.json to Snowflake stage
[2025-10-07T09:16:28.611+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739988.json to Snowflake stage
[2025-10-07T09:16:29.323+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740003.json to Snowflake stage
[2025-10-07T09:16:29.799+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740016.json to Snowflake stage
[2025-10-07T09:16:30.275+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740029.json to Snowflake stage
[2025-10-07T09:16:30.683+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740044.json to Snowflake stage
[2025-10-07T09:16:31.236+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740058.json to Snowflake stage
[2025-10-07T09:16:31.876+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740073.json to Snowflake stage
[2025-10-07T09:16:32.838+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740092.json to Snowflake stage
[2025-10-07T09:16:33.225+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740111.json to Snowflake stage
[2025-10-07T09:16:33.596+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740125.json to Snowflake stage
[2025-10-07T09:16:33.998+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740138.json to Snowflake stage
[2025-10-07T09:16:34.588+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740153.json to Snowflake stage
[2025-10-07T09:16:34.995+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740167.json to Snowflake stage
[2025-10-07T09:16:35.396+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740181.json to Snowflake stage
[2025-10-07T09:16:36.101+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740199.json to Snowflake stage
[2025-10-07T09:16:36.478+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740217.json to Snowflake stage
[2025-10-07T09:16:36.998+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738388.json to Snowflake stage
[2025-10-07T09:16:37.478+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738401.json to Snowflake stage
[2025-10-07T09:16:37.959+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738414.json to Snowflake stage
[2025-10-07T09:16:38.398+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738445.json to Snowflake stage
[2025-10-07T09:16:38.917+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738466.json to Snowflake stage
[2025-10-07T09:16:39.397+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738482.json to Snowflake stage
[2025-10-07T09:16:39.817+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738501.json to Snowflake stage
[2025-10-07T09:16:40.347+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738519.json to Snowflake stage
[2025-10-07T09:16:40.969+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738562.json to Snowflake stage
[2025-10-07T09:16:41.278+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738598.json to Snowflake stage
[2025-10-07T09:16:41.801+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738623.json to Snowflake stage
[2025-10-07T09:16:42.276+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738638.json to Snowflake stage
[2025-10-07T09:16:42.648+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738653.json to Snowflake stage
[2025-10-07T09:16:43.087+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738666.json to Snowflake stage
[2025-10-07T09:16:43.447+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738679.json to Snowflake stage
[2025-10-07T09:16:43.937+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738695.json to Snowflake stage
[2025-10-07T09:16:44.722+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738708.json to Snowflake stage
[2025-10-07T09:16:45.074+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738722.json to Snowflake stage
[2025-10-07T09:16:45.464+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738737.json to Snowflake stage
[2025-10-07T09:16:45.853+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738753.json to Snowflake stage
[2025-10-07T09:16:46.224+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738769.json to Snowflake stage
[2025-10-07T09:16:46.648+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738784.json to Snowflake stage
[2025-10-07T09:16:47.138+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738813.json to Snowflake stage
[2025-10-07T09:16:47.621+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738828.json to Snowflake stage
[2025-10-07T09:16:47.967+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738849.json to Snowflake stage
[2025-10-07T09:16:48.332+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738869.json to Snowflake stage
[2025-10-07T09:16:48.735+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738886.json to Snowflake stage
[2025-10-07T09:16:49.167+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738905.json to Snowflake stage
[2025-10-07T09:16:49.577+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738931.json to Snowflake stage
[2025-10-07T09:16:50.093+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738949.json to Snowflake stage
[2025-10-07T09:16:50.436+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738963.json to Snowflake stage
[2025-10-07T09:16:50.832+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738979.json to Snowflake stage
[2025-10-07T09:16:51.196+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738997.json to Snowflake stage
[2025-10-07T09:16:51.571+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739019.json to Snowflake stage
[2025-10-07T09:16:52.117+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739042.json to Snowflake stage
[2025-10-07T09:16:52.522+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739062.json to Snowflake stage
[2025-10-07T09:16:52.872+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739085.json to Snowflake stage
[2025-10-07T09:16:53.218+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739104.json to Snowflake stage
[2025-10-07T09:16:53.762+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739124.json to Snowflake stage
[2025-10-07T09:16:54.116+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739140.json to Snowflake stage
[2025-10-07T09:16:54.523+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739157.json to Snowflake stage
[2025-10-07T09:16:56.609+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739176.json to Snowflake stage
[2025-10-07T09:16:57.226+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739193.json to Snowflake stage
[2025-10-07T09:16:57.736+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739211.json to Snowflake stage
[2025-10-07T09:16:58.262+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739231.json to Snowflake stage
[2025-10-07T09:16:58.654+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739250.json to Snowflake stage
[2025-10-07T09:16:58.970+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739266.json to Snowflake stage
[2025-10-07T09:16:59.397+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739280.json to Snowflake stage
[2025-10-07T09:16:59.766+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739295.json to Snowflake stage
[2025-10-07T09:17:00.359+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739309.json to Snowflake stage
[2025-10-07T09:17:00.767+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739324.json to Snowflake stage
[2025-10-07T09:17:01.319+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739337.json to Snowflake stage
[2025-10-07T09:17:01.798+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739351.json to Snowflake stage
[2025-10-07T09:17:02.162+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739364.json to Snowflake stage
[2025-10-07T09:17:02.597+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739380.json to Snowflake stage
[2025-10-07T09:17:03.082+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739395.json to Snowflake stage
[2025-10-07T09:17:03.539+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739416.json to Snowflake stage
[2025-10-07T09:17:04.011+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739430.json to Snowflake stage
[2025-10-07T09:17:04.367+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739443.json to Snowflake stage
[2025-10-07T09:17:04.754+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739457.json to Snowflake stage
[2025-10-07T09:17:05.413+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739472.json to Snowflake stage
[2025-10-07T09:17:05.957+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739485.json to Snowflake stage
[2025-10-07T09:17:06.436+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739502.json to Snowflake stage
[2025-10-07T09:17:06.916+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739519.json to Snowflake stage
[2025-10-07T09:17:07.398+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739534.json to Snowflake stage
[2025-10-07T09:17:08.035+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739551.json to Snowflake stage
[2025-10-07T09:17:08.492+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739578.json to Snowflake stage
[2025-10-07T09:17:08.896+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739594.json to Snowflake stage
[2025-10-07T09:17:09.395+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739634.json to Snowflake stage
[2025-10-07T09:17:09.894+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739650.json to Snowflake stage
[2025-10-07T09:17:10.280+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739668.json to Snowflake stage
[2025-10-07T09:17:10.727+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739685.json to Snowflake stage
[2025-10-07T09:17:11.236+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739703.json to Snowflake stage
[2025-10-07T09:17:11.721+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739719.json to Snowflake stage
[2025-10-07T09:17:12.131+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739738.json to Snowflake stage
[2025-10-07T09:17:12.485+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739755.json to Snowflake stage
[2025-10-07T09:17:13.004+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739772.json to Snowflake stage
[2025-10-07T09:17:13.387+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739793.json to Snowflake stage
[2025-10-07T09:17:13.808+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739814.json to Snowflake stage
[2025-10-07T09:17:14.508+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739830.json to Snowflake stage
[2025-10-07T09:17:14.881+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739847.json to Snowflake stage
[2025-10-07T09:17:15.471+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739864.json to Snowflake stage
[2025-10-07T09:17:16.037+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739882.json to Snowflake stage
[2025-10-07T09:17:16.650+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739899.json to Snowflake stage
[2025-10-07T09:17:17.159+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739921.json to Snowflake stage
[2025-10-07T09:17:17.569+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739935.json to Snowflake stage
[2025-10-07T09:17:18.233+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739947.json to Snowflake stage
[2025-10-07T09:17:18.723+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739961.json to Snowflake stage
[2025-10-07T09:17:19.588+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739974.json to Snowflake stage
[2025-10-07T09:17:20.001+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739986.json to Snowflake stage
[2025-10-07T09:17:20.420+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740001.json to Snowflake stage
[2025-10-07T09:17:21.319+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740015.json to Snowflake stage
[2025-10-07T09:17:21.754+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740028.json to Snowflake stage
[2025-10-07T09:17:22.176+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740043.json to Snowflake stage
[2025-10-07T09:17:22.735+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740057.json to Snowflake stage
[2025-10-07T09:17:23.401+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740072.json to Snowflake stage
[2025-10-07T09:17:23.883+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740089.json to Snowflake stage
[2025-10-07T09:17:24.522+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740106.json to Snowflake stage
[2025-10-07T09:17:24.969+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740123.json to Snowflake stage
[2025-10-07T09:17:25.343+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740136.json to Snowflake stage
[2025-10-07T09:17:25.958+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740151.json to Snowflake stage
[2025-10-07T09:17:26.435+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740165.json to Snowflake stage
[2025-10-07T09:17:26.879+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740179.json to Snowflake stage
[2025-10-07T09:17:27.322+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740196.json to Snowflake stage
[2025-10-07T09:17:27.874+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740214.json to Snowflake stage
[2025-10-07T09:17:28.514+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738384.json to Snowflake stage
[2025-10-07T09:17:28.928+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738399.json to Snowflake stage
[2025-10-07T09:17:29.477+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738411.json to Snowflake stage
[2025-10-07T09:17:29.955+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738435.json to Snowflake stage
[2025-10-07T09:17:30.439+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738459.json to Snowflake stage
[2025-10-07T09:17:34.304+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738479.json to Snowflake stage
[2025-10-07T09:17:34.808+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738496.json to Snowflake stage
[2025-10-07T09:17:35.309+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738513.json to Snowflake stage
[2025-10-07T09:17:35.788+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738591.json to Snowflake stage
[2025-10-07T09:17:36.252+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738620.json to Snowflake stage
[2025-10-07T09:17:36.903+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738634.json to Snowflake stage
[2025-10-07T09:17:37.246+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738650.json to Snowflake stage
[2025-10-07T09:17:37.615+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738664.json to Snowflake stage
[2025-10-07T09:17:38.116+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738677.json to Snowflake stage
[2025-10-07T09:17:39.040+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738692.json to Snowflake stage
[2025-10-07T09:17:39.458+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738705.json to Snowflake stage
[2025-10-07T09:17:40.038+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738719.json to Snowflake stage
[2025-10-07T09:17:40.479+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738734.json to Snowflake stage
[2025-10-07T09:17:40.900+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738749.json to Snowflake stage
[2025-10-07T09:17:41.331+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738765.json to Snowflake stage
[2025-10-07T09:17:41.797+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738780.json to Snowflake stage
[2025-10-07T09:17:42.408+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738809.json to Snowflake stage
[2025-10-07T09:17:42.850+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738825.json to Snowflake stage
[2025-10-07T09:17:43.251+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738842.json to Snowflake stage
[2025-10-07T09:17:43.722+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738863.json to Snowflake stage
[2025-10-07T09:17:44.085+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738882.json to Snowflake stage
[2025-10-07T09:17:44.465+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738900.json to Snowflake stage
[2025-10-07T09:17:45.252+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738918.json to Snowflake stage
[2025-10-07T09:17:45.618+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738945.json to Snowflake stage
[2025-10-07T09:17:46.173+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738960.json to Snowflake stage
[2025-10-07T09:17:46.593+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738975.json to Snowflake stage
[2025-10-07T09:17:46.990+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738991.json to Snowflake stage
[2025-10-07T09:17:47.340+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739010.json to Snowflake stage
[2025-10-07T09:17:47.736+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739034.json to Snowflake stage
[2025-10-07T09:17:48.164+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739058.json to Snowflake stage
[2025-10-07T09:17:48.624+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739080.json to Snowflake stage
[2025-10-07T09:17:49.416+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739099.json to Snowflake stage
[2025-10-07T09:17:50.117+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739119.json to Snowflake stage
[2025-10-07T09:17:50.569+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739136.json to Snowflake stage
[2025-10-07T09:17:51.069+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739153.json to Snowflake stage
[2025-10-07T09:17:51.485+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739171.json to Snowflake stage
[2025-10-07T09:17:52.037+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739189.json to Snowflake stage
[2025-10-07T09:17:52.519+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739207.json to Snowflake stage
[2025-10-07T09:17:53.011+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739227.json to Snowflake stage
[2025-10-07T09:17:53.480+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739245.json to Snowflake stage
[2025-10-07T09:17:54.118+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739262.json to Snowflake stage
[2025-10-07T09:17:54.579+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739277.json to Snowflake stage
[2025-10-07T09:17:55.238+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739292.json to Snowflake stage
[2025-10-07T09:17:55.673+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739306.json to Snowflake stage
[2025-10-07T09:17:56.358+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739320.json to Snowflake stage
[2025-10-07T09:17:56.841+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739334.json to Snowflake stage
[2025-10-07T09:17:57.318+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739348.json to Snowflake stage
[2025-10-07T09:17:57.799+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739361.json to Snowflake stage
[2025-10-07T09:17:58.278+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739376.json to Snowflake stage
[2025-10-07T09:17:58.755+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739392.json to Snowflake stage
[2025-10-07T09:17:59.238+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739412.json to Snowflake stage
[2025-10-07T09:18:00.039+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739427.json to Snowflake stage
[2025-10-07T09:18:00.522+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739440.json to Snowflake stage
[2025-10-07T09:18:00.920+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739454.json to Snowflake stage
[2025-10-07T09:18:01.479+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739470.json to Snowflake stage
[2025-10-07T09:18:01.961+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739482.json to Snowflake stage
[2025-10-07T09:18:02.344+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739498.json to Snowflake stage
[2025-10-07T09:18:02.730+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739515.json to Snowflake stage
[2025-10-07T09:18:03.238+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739530.json to Snowflake stage
[2025-10-07T09:18:03.696+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739547.json to Snowflake stage
[2025-10-07T09:18:04.320+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739563.json to Snowflake stage
[2025-10-07T09:18:04.810+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739591.json to Snowflake stage
[2025-10-07T09:18:05.451+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739623.json to Snowflake stage
[2025-10-07T09:18:05.931+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739646.json to Snowflake stage
[2025-10-07T09:18:06.599+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739665.json to Snowflake stage
[2025-10-07T09:18:07.077+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739681.json to Snowflake stage
[2025-10-07T09:18:07.564+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739699.json to Snowflake stage
[2025-10-07T09:18:08.037+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739715.json to Snowflake stage
